id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,wtd_loans,interest_rate,int_rate2,num_rate,numrate,good
1352331,20000,20000, 36 months,7.62%,623.23,10+ years,MORTGAGE,70000,Charged Off,debt_consolidation,MA,12.27,0,7/12/83 8:46,,10,4738,21,0,8711.08,7229.64,1481.44,,,7.62%,,,0
1357234,4500,4500, 36 months,19.22%,165.46,< 1 year,RENT,40000,Charged Off,debt_consolidation,MI,7.35,0,5/10/01 6:52,,3,6394,7,0,1531.9,787.46,531.42,,,19.22%,,,0
1357660,17500,17500, 36 months,7.90%,547.58,9 years,MORTGAGE,51866.93,Charged Off,debt_consolidation,TX,29.5,0,10/28/97 4:28,,16,16658,25,0,1094.76,867.27,227.49,,,7.90%,,,0
1368587,31800,31800, 36 months,21.97%,1213.97,8 years,RENT,125000,Charged Off,renewable_energy,CA,17.89,1,5/19/00 7:05,19,16,32500,24,0,11223.83,5386.88,4319.04,,,21.97%,,,0
1375044,6000,6000, 36 months,12.12%,199.63,5 years,RENT,45000,Charged Off,debt_consolidation,CA,5.55,0,8/15/07 3:14,,7,7378,10,0,535.48,138.77,60.49,,,12.12%,,,0
1375445,25900,25900, 36 months,19.99%,962.41,10+ years,RENT,89232,Charged Off,debt_consolidation,CA,3.23,0,11/9/02 7:09,,7,17718,9,0,4327.19,1608.84,1275.32,,,19.99%,,,0
1378620,6300,6300, 36 months,15.31%,219.35,4 years,MORTGAGE,43000,Charged Off,credit_card,MO,23.83,0,4/24/06 6:28,,8,7161,13,0,1643.38,858.8,456.96,,,15.31%,,,0
1389699,4325,4325, 36 months,17.77%,155.87,2 years,MORTGAGE,42968,Charged Off,debt_consolidation,MI,19.61,0,2/24/01 2:05,,8,2614,11,0,548.86,184.81,126.59,,,17.77%,,,0
1393592,11700,11700, 36 months,18.49%,425.87,9 years,RENT,35000,Charged Off,debt_consolidation,VA,34.46,0,1/31/06 4:37,40,10,1708,20,0,4361.04,2346.33,1477.95,,,18.49%,,,0
1394620,8975,8975, 36 months,15.31%,312.49,10+ years,RENT,89000,Charged Off,small_business,FL,11.21,7,7/19/91 1:50,8,9,1400,39,0,2499.68,1656.27,843.41,,,15.31%,,,0
1410563,28000,28000, 60 months,23.76%,801.61,10+ years,MORTGAGE,130000,Late (31-120 days),debt_consolidation,GA,26.39,1,9/15/99 7:49,4,19,70946,34,23448.17,12812.29,4551.83,8260.46,,,23.76%,,,0
1411006,6000,6000, 36 months,16.29%,211.81,2 years,OWN,35000,Charged Off,credit_card,IL,28.83,2,8/27/97 8:14,22,16,16868,34,0,1409.92,531.27,564.25,,,16.29%,,,0
1411796,18000,18000, 36 months,14.33%,618.09,6 years,RENT,76760,Late (31-120 days),debt_consolidation,MD,26.89,1,1/7/07 11:47,10,8,5707,14,11432.81,9865.03,6567.19,3266.99,,,14.33%,,,0
1412457,10000,10000, 36 months,17.77%,360.38,10+ years,RENT,35000,Late (31-120 days),debt_consolidation,NC,24.21,0,4/12/06 5:22,,9,10098,11,5691.02,6541.72,4308.98,2232.74,,,17.77%,,,0
1422072,9600,9600, 36 months,16.29%,338.89,2 years,RENT,40000,Late (31-120 days),credit_card,CA,20.82,0,9/14/06 7:32,,7,9729,9,5647.08,5753.48,3952.92,1800.56,,,16.29%,,,0
1427809,9600,9600, 36 months,15.31%,334.25,2 years,RENT,75000,Charged Off,debt_consolidation,MD,12.93,0,11/21/07 9:14,,6,12562,9,0,1837.76,863.15,473.41,,,15.31%,,,0
1431019,30925,30925, 60 months,21.98%,853.77,10+ years,MORTGAGE,134000,Charged Off,debt_consolidation,UT,20.3,0,11/25/93 1:52,,14,112055,29,0,7683.3,2783.5,4899.8,,,21.98%,,,0
1433303,11875,11875, 36 months,18.49%,432.24,7 years,RENT,77000,Charged Off,debt_consolidation,NJ,5.36,0,5/22/06 8:58,,16,10851,29,0,2170.29,1485.74,684.55,,,18.49%,,,0
1438944,31825,31825, 60 months,24.83%,930.94,8 years,MORTGAGE,80640,Charged Off,debt_consolidation,NC,31.88,0,9/14/96 1:28,49,16,35681,34,0,6401.01,1419.23,3233.97,,,24.83%,,,0
1444243,35000,35000, 36 months,23.63%,1366.36,3 years,RENT,102000,Charged Off,debt_consolidation,NY,24.4,0,8/8/98 9:49,,23,47101,36,0,10925.28,5802.67,5122.61,,,23.63%,,,0
1450319,15250,15250, 36 months,18.49%,555.08,10+ years,RENT,55000,Charged Off,debt_consolidation,GA,25.88,0,6/23/96 1:26,,8,22955,16,0,1422.97,84.8,468.14,,,18.49%,,,0
1456675,20375,20375, 60 months,21.98%,562.51,9 years,MORTGAGE,85000,Charged Off,wedding,HI,17.65,0,1/10/05 6:34,79,8,4703,22,0,6187.06,2283.77,3903.29,,,21.98%,,,0
1457611,8000,8000, 36 months,12.12%,266.18,6 years,MORTGAGE,100000,Late (31-120 days),debt_consolidation,TX,15.88,0,1/27/02 11:43,63,12,14624,26,4803.09,4267.69,3196.91,1055.79,,,12.12%,,,0
1466502,12000,12000, 36 months,15.80%,420.71,7 years,RENT,42000,Late (31-120 days),debt_consolidation,CA,30.09,0,4/2/02 2:44,44,8,5700,25,7996.57,5880.42,4003.42,1877,,,15.80%,,,0
1467693,10000,10000, 36 months,7.62%,311.62,10+ years,MORTGAGE,75000,Late (31-120 days),credit_card,MN,14.35,0,3/23/87 6:38,,10,24164,18,6385.05,4355.68,3614.95,740.73,,,7.62%,,,0
1473282,10000,10000, 36 months,12.12%,332.72,< 1 year,OWN,50000,Default,debt_consolidation,TX,17.39,0,11/23/04 10:12,,8,5174,11,6800.37,4322.37,3199.63,1122.74,,,12.12%,,,0
1476846,16450,16450, 60 months,19.72%,433.27,4 years,RENT,42000,Charged Off,debt_consolidation,CA,25.54,0,3/30/98 10:09,,12,15412,32,0,2591.16,1015.39,1575.77,,,19.72%,,,0
1485171,21200,21200, 60 months,22.95%,597.03,1 year,RENT,54000,Late (16-30 days),debt_consolidation,OH,31.67,0,10/15/95 2:06,71,9,30460,38,17657.29,9541.6,3542.71,5998.89,,,22.95%,,,0
1487501,2375,2375, 36 months,13.11%,80.15,n/a,OWN,8400,Charged Off,moving,CO,2.86,0,4/23/07 9:50,,2,487,5,0,535.28,275.64,124.02,,,13.11%,,,0
1488646,10400,10400, 36 months,18.49%,378.55,1 year,OWN,132000,Charged Off,debt_consolidation,TX,19.95,0,9/6/97 8:05,42,20,13750,57,0,1687.76,661.19,467.86,,,18.49%,,,0
1489496,24125,24125, 60 months,21.00%,652.67,3 years,MORTGAGE,62000,Charged Off,home_improvement,CA,10.22,0,11/30/04 9:07,,9,20231,10,0,5915.17,1438.14,3125.49,,,21.00%,,,0
1496712,4200,4200, 36 months,15.31%,146.24,< 1 year,OWN,15580,In Grace Period,major_purchase,AL,16.1,0,2/20/07 1:16,,5,4122,7,2454.08,2485.06,1745.92,739.14,,,15.31%,,,0
1502384,18000,18000, 36 months,14.33%,618.09,2 years,RENT,70000,Charged Off,credit_card,NY,13.71,0,11/11/03 7:03,,16,16117,20,0,7416.53,5126.2,2243.72,,,14.33%,,,0
1502741,4000,4000, 36 months,17.27%,143.15,5 years,MORTGAGE,48000,Charged Off,credit_card,IL,21.48,1,9/3/99 4:53,13,10,9425,23,0,1426.4,910.19,516.21,,,17.27%,,,0
1503942,16950,16950, 60 months,17.27%,423.72,10+ years,MORTGAGE,43000,Charged Off,debt_consolidation,OK,26.62,0,4/1/00 4:23,,7,12588,18,0,5503.16,2547.61,2955.55,,,17.27%,,,0
1504852,14000,14000, 36 months,12.12%,465.81,< 1 year,RENT,40000,Charged Off,credit_card,NY,4.71,0,8/26/07 2:46,,8,6635,12,0,4656.6,3394.49,1262.11,,,12.12%,,,0
1512222,12850,12850, 36 months,15.31%,447.41,6 years,RENT,41000,Charged Off,debt_consolidation,CT,16.46,0,12/10/93 6:27,,8,18278,15,0,3800.42,2366.72,1366.97,,,15.31%,,,0
1514364,15875,15875, 36 months,17.77%,572.09,5 years,RENT,40000,Charged Off,debt_consolidation,CA,16.68,2,10/12/04 9:56,8,15,10546,20,0,6319.1,4025.32,2293.78,,,17.77%,,,0
1515836,4000,4000, 36 months,14.09%,136.89,6 years,RENT,34000,Charged Off,other,CA,33.56,0,5/23/97 9:18,,9,6495,14,0,361.09,89.71,46.85,,,14.09%,,,0
1517434,10000,10000, 36 months,18.49%,363.99,1 year,RENT,40000,In Grace Period,wedding,HI,4.93,2,11/19/03 11:02,9,7,5823,22,5663.02,6594.9,4336.98,2257.92,,,18.49%,,,0
1523385,10625,10625, 36 months,12.12%,353.52,10+ years,MORTGAGE,31820,Charged Off,debt_consolidation,WA,25.87,0,12/29/98 2:15,,10,12134,17,0,2473.52,1775.76,697.76,,,12.12%,,,0
1530167,12000,12000, 36 months,12.12%,399.26,6 years,MORTGAGE,36000,Charged Off,debt_consolidation,CA,10.9,0,8/13/00 11:09,,5,19765,6,0,3991.9,2909.93,1081.97,,,12.12%,,,0
1530718,14000,14000, 36 months,19.05%,513.54,4 years,RENT,44000,Charged Off,debt_consolidation,CO,25.98,0,6/13/06 8:02,,11,16155,19,0,1797.13,586.76,439.54,,,19.05%,,,0
1544685,15600,15600, 36 months,13.11%,526.46,6 years,RENT,40000,Charged Off,debt_consolidation,WA,20.34,0,8/24/05 3:26,,9,6415,14,0,3433.09,1665.03,967.06,,,13.11%,,,0
1546367,7200,7200, 36 months,13.11%,242.98,5 years,MORTGAGE,35000,Charged Off,debt_consolidation,UT,16.39,0,2/17/01 8:47,,6,18770,14,0,2669.26,1907.05,762.21,,,13.11%,,,0
1550241,15000,15000, 36 months,18.49%,545.99,10+ years,RENT,48258,Late (16-30 days),debt_consolidation,LA,23.3,0,12/1/98 3:38,54,11,5631,25,9359.45,8734.86,5640.54,3094.32,,,18.49%,,,0
1552678,4800,4800, 36 months,14.33%,164.83,10+ years,RENT,33000,Charged Off,debt_consolidation,NY,23.89,0,8/12/85 4:29,34,16,14465,49,0,1809.5,1253.3,556.2,,,14.33%,,,0
1560704,11500,11500, 36 months,12.12%,382.63,2 years,RENT,33000,Charged Off,debt_consolidation,MD,5.27,0,4/25/01 7:25,,3,9081,12,0,1147.5,807.27,340.23,,,12.12%,,,0
1562324,15075,15075, 36 months,19.05%,552.98,5 years,RENT,39000,Charged Off,debt_consolidation,NJ,33.54,0,11/25/06 1:44,,13,19327,19,0,6495.79,3974.11,2521.68,,,19.05%,,,0
1571055,5000,5000, 36 months,15.31%,174.09,10+ years,RENT,25000,Late (31-120 days),debt_consolidation,FL,18.1,0,6/26/01 6:01,,8,11967,9,2586,3168.83,2413.99,754.84,,,15.31%,,,0
1578875,22000,22000, 60 months,19.72%,579.45,10+ years,RENT,100000,Late (31-120 days),debt_consolidation,FL,15.7,1,8/20/97 4:17,10,21,12170,34,19466.78,7149.41,2533.22,4616.19,,,19.72%,,,0
1587104,5825,5825, 36 months,14.09%,199.34,6 years,MORTGAGE,20000,Late (31-120 days),credit_card,FL,15.06,0,12/11/99 6:22,,8,10414,15,3852.72,2779.98,1972.28,807.7,,,14.09%,,,0
1596779,13650,13650, 36 months,11.14%,447.79,8 years,OWN,52000,Late (31-120 days),debt_consolidation,TX,33.65,0,3/24/76 7:29,,18,24479,52,8873.63,6268.78,4776.37,1492.41,,,11.14%,,,0
1600887,15875,15875, 36 months,14.09%,543.27,1 year,MORTGAGE,50000,Late (31-120 days),home_improvement,NY,20.54,0,6/14/00 12:02,,11,5517,24,10902.87,7050.42,4972.13,2078.29,,,14.09%,,,0
1602901,21725,21725, 36 months,14.09%,743.46,2 years,MORTGAGE,72100,Charged Off,credit_card,UT,22.1,0,7/26/98 9:52,34,8,14536,34,0,4452.24,3011.84,1440.4,,,14.09%,,,0
1606719,10000,10000, 36 months,14.09%,342.22,9 years,RENT,35000,Charged Off,debt_consolidation,MN,10.63,0,11/12/06 12:46,,8,9324,9,0,3073.95,2116.75,957.2,,,14.09%,,,0
1609624,33600,33600, 60 months,23.83%,963.3,10+ years,RENT,92000,Charged Off,debt_consolidation,UT,19.11,5,4/29/98 2:47,2,18,12337,52,0,4812.2,1538.9,3273.3,,,23.83%,,,0
1616403,8875,8875, 36 months,13.11%,299.51,2 years,RENT,26000,Charged Off,credit_card,GA,21.46,0,8/14/07 3:03,,9,9759,9,0,1496.15,1034.16,461.99,,,13.11%,,,0
1617454,3550,3550, 36 months,16.29%,125.32,3 years,RENT,33000,Charged Off,debt_consolidation,KS,28.95,0,8/10/79 5:51,80,16,13936,27,0,625.6,395.62,229.98,,,16.29%,,,0
1677660,17600,17600, 60 months,12.12%,392.58,3 years,MORTGAGE,50000,Charged Off,debt_consolidation,CT,29.57,0,1/1/00 12:01,,10,16835,38,0,3281.53,1317.36,1030.02,,,12.12%,,,0
1684701,22750,22750, 60 months,18.49%,583.79,10+ years,MORTGAGE,54000,Late (31-120 days),debt_consolidation,OH,33.18,0,2/26/06 4:52,54,9,11485,14,19173.88,8186.75,3576.12,4595.64,,,18.49%,,,0
1689298,12000,12000, 36 months,18.49%,436.79,4 years,MORTGAGE,115000,Charged Off,debt_consolidation,MA,19.9,0,4/23/96 10:11,64,9,38706,19,0,3493.13,2118.93,1361.79,,,18.49%,,,0
1691702,20000,20000, 60 months,14.33%,468.8,2 years,RENT,57000,Default,debt_consolidation,IL,28.82,0,7/19/03 9:09,,14,11951,26,17314.19,5156.03,2685.81,2470.22,,,14.33%,,,0
1692216,7000,7000, 36 months,18.49%,254.8,5 years,RENT,26000,Late (31-120 days),debt_consolidation,GA,12.88,0,2/4/06 9:29,74,4,4332,7,5079.32,3057.6,1920.68,1136.92,,,18.49%,,,0
1694489,7000,7000, 36 months,16.29%,247.11,5 years,OWN,44000,In Grace Period,debt_consolidation,NY,18.49,0,1/1/07 7:32,,7,8384,9,4492.12,3701.55,2507.88,1193.67,,,16.29%,,,0
1704669,21725,21725, 60 months,19.05%,564.16,10+ years,OWN,49000,Charged Off,debt_consolidation,CA,27.31,0,4/7/00 11:36,,9,5758,22,0,5641.28,2345.11,3296.17,,,19.05%,,,0
1854813,19200,19200, 36 months,12.12%,638.82,8 years,OWN,43000,Late (31-120 days),credit_card,TX,29.58,0,4/19/99 9:11,61,11,29797,26,12547.8,8940.4,6652.2,2288.2,,,12.12%,,,0
1914718,1750,1750, 36 months,18.49%,63.7,5 years,RENT,30000,Charged Off,debt_consolidation,CA,17.48,0,8/9/01 1:38,,4,1935,7,0,408.12,189.43,129.07,,,18.49%,,,0
1955329,5250,5250, 36 months,13.11%,177.18,1 year,RENT,20000,Charged Off,credit_card,FL,30.12,0,11/8/02 7:47,,18,13256,42,0,1414.64,994.09,420.55,,,13.11%,,,0
2079768,3250,3250, 36 months,14.33%,111.6,1 year,RENT,21000,Charged Off,debt_consolidation,GA,33.54,0,10/15/01 10:05,63,7,4959,10,0,613.08,294.66,149.1,,,14.33%,,,0
2082459,13000,13000, 36 months,14.33%,446.4,10+ years,RENT,100000,Late (31-120 days),credit_card,CA,13.42,0,6/30/99 5:17,36,10,12077,23,9268.74,5354.64,3731.26,1623.38,,,14.33%,,,0
2085677,5000,5000, 36 months,7.62%,155.81,5 years,MORTGAGE,75000,Late (31-120 days),home_improvement,CA,18.67,0,3/23/94 4:06,,13,36517,33,3593.35,1711.27,1406.65,304.62,,,7.62%,,,0
2087490,8000,8000, 36 months,14.33%,274.71,8 years,RENT,43094,Charged Off,credit_card,NJ,16.99,0,6/10/02 3:18,67,13,10959,29,0,2737.2,1884.37,852.83,,,14.33%,,,0
2225974,20000,20000, 60 months,22.95%,563.24,5 years,RENT,61000,Late (31-120 days),debt_consolidation,NY,15.64,0,9/3/99 12:18,,18,15654,21,17818.57,6172.54,2181.43,3991.11,,,22.95%,,,0
2297585,7550,7550, 36 months,7.90%,236.25,10+ years,MORTGAGE,48000,Charged Off,credit_card,NY,6.43,0,7/8/95 3:23,49,7,26457,10,0,1889.28,1526.63,362.65,,,7.90%,,,0
2369962,3600,3600, 36 months,22.47%,138.37,2 years,MORTGAGE,58000,Charged Off,other,WA,27.41,1,9/23/04 8:20,15,15,7602,40,0,1105.5,603.91,501.59,,,22.47%,,,0
